stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
34.046723,,-117.524023,,7678,Jurupa Ave E Jurupa St,Jurupa @ Etiwanda Eb Fs,0
34.047213,,-117.518586,,7679,Jurupa Av S Vintage Av,Jurupa @ Pacific Eb Fs,0
34.077312,,-117.571257,,7676,4th St Duesenberg Dr,4th @ Duesenburg Eb Fs,0
34.102314,,-117.575943,,7675,Haven Ave Arrow Rte,Haven @ Civic Center Sb Fs,0
34.04719,,-117.518957,,7672,Jurupa Ave Filippi Ln,Jurupa @ Pacific Wb Ns,0
34.048157,,-117.507003,,7671,Jurupa Av Mulberry Av,Jurupa @ Mulberry Wb Fs,0
34.17612,,-117.330906,,5458,W Kendall Dr University Pkwy,Kendall @ University Eb Fs,0
34.174241,,-117.326841,,5459,W Kendall Dr Wilderness Wy,Kendall @ Lakewood Eb Fs,0
34.106341,,-117.506052,,7078,Foothill Blvd Mulberry Av,Foothill @ Mulberry Eb Fs,0
34.106405,,-117.501777,,7079,Foothill Blvd Calabash Av,Foothill @ Calabash Eb Fs,0
34.05604,,-117.669772,,5952,S Mountain Av W Mission Blvd,Mountain @ Mission Nb Fs,0
34.121173,,-117.285197,,5450,N Sierra Wy W Baseline St,Sierra Way @ Baseline Sb Fs,0
34.119025,,-117.285228,,5451,N Sierra Way E 11th St,Sierra Way @ 11th Sb Fs,0
34.115196,,-117.2852,,5452,N Sierra Way W 8th St,Sierra Way @ 9th Sb Fs,0
34.106345,,-117.510775,,7077,Foothill Blvd Cottonwood Av,Foothill @ Cottonwood Eb Ns,0
34.110532,,-117.285287,,5454,N Sierra Way E 6th St,Sierra Way @ 6th Sb Ns,0
34.160016,,-117.284966,,5455,N Sierra Wy E Palmyra Dr,Sierra Way @ 38th Nb Fs,0
34.106444,,-117.561356,,7072,Foothill Blvd Elm Av,Foothill @ Elm Eb Fs,0
34.177404,,-117.319908,,5457,W Northpark Blvd New Jersey St,Northpark @ Northstar Eb Ns,0
34.034911,,-117.057257,,6976,Yucaipa Tc11 Yucaipa Tc10,Yucaipa Trans Ctr,0
34.033871,,-117.051351,,6977,Yucaipa Blvd,Yucaipa @ 4th Eb Fs,0
34.033826,,-117.090641,,6975,Yucaipa Blvd 13th St,Yucaipa @ 13th Eb Fs,0
34.048274,,-117.130658,,6972,5th Av Walnut St,5th @ Walnut Eb Ns,0
34.048208,,-117.120562,,6973,5th Av Walnut St,5th @ Crafton Eb Fs,0
34.048848,,-117.139047,,6970,Wabash Av Cottage Terrace Cir,Wabash @ 5th Sb Ns,0
34.048323,,-117.134958,,6971,5th Av Cottage Terrace Cir,5th @ Opal Eb Ns,0
34.065448,,-117.593304,,5824_merged_950468,N Archibald Av E Guasti Rd,Archibald @ Guasti Nb Ns,0
34.033876,,-117.04978,,6978,Yucaipa Blvd,Yucaipa @ 3rd Eb Fs,0
34.033872,,-117.047183,,6979,Yucaipa Blvd,Yucaipa @ 3rd Eb Fs,0
34.110931,,-117.294033,,5533,N E St W 6th St,E St @ 6th Nb Fs,0
34.095863,,-117.294041,,5530,S E St W Oak St,E St @ Valley Nb Ns,0
34.119242,,-117.294123,,5537,N E St W 11th St,E St @ 11th Nb Ns,0
34.115896,,-117.294102,,5536,N E St W 10th St,E @ 9th Nb Fs,0
34.114053,,-117.294083,,5535,N E St W 8th St,E St @ 8th Nb Fs,0
34.128799,,-117.294102,,5539,N E St W 16th St,E St @ 16th Nb Ns,0
34.12564,,-117.294095,,5538,N E St W 14th St,E St @ 14th Nb Ns,0
34.135494,,-117.331062,,6476,,California @ Highland Nb Ns,0
34.121081,,-117.436083,,7188,Sierra Av Baseline Av,Sierra @ Baseline Sb Fs,0
34.117533,,-117.4359,,7189,Sierra Av San Jacinto Av,Sierra @ San Jacinto Sb Fs,0
34.121346,,-117.47537,,7180,Baseline Av Hemlock Av,Baseline @ Village Eb Fs,0
34.121337,,-117.471066,,7181,Baseline Av Beech Av,Baseline @ Beech Eb Fs,0
34.121331,,-117.466434,,7182,Baseline Av Orlando Dr,Baseline @ Orlando Eb Fs,0
34.121319,,-117.46012,,7183,Baseline Av Almeria Av,Baseline @ Almeria Eb Fs,0
34.164944,,-117.262355,,6156_merged_950449,E 40th St N Harrison Canyon Rd,40th @ Harrison Eb Fs,0
34.063394,,-117.669948,,8501,N Mountain Av Ortega Ct,Mountain @ Holt Nb Fs,0
34.070558,,-117.355945,,8389,,Valley @ Rexford Nb Fs,0
34.015183,,-117.667522,,8500,Mountain Av Ortega Ct,Mountain @ Ortega Sb Fs,0
34.106691,,-117.27861,,8387,,Waterman @ 4th Nb Fs,0
34.102491,,-117.2786,,8386,,Waterman @ 2nd Nb Ns,0
34.091725,,-117.278622,,8385,S Waterman Av E Drake Dr,Waterman @ Mill Nb Ns,0
34.102299,,-117.27879,,8384,N Waterman Av E 2nd St,Waterman @ 2nd Sb Fs,0
34.106309,,-117.278858,,8383,,Waterman @ 4th Sb Fs,0
34.074494,,-117.278594,,8382,S Waterman Av,Waterman @ Parkcenter Nb Fs,0
34.074543,,-117.278764,,8381,S Waterman Av Parkcenter Cir N,Waterman @ Parkcenter Sb Ns,0
34.019417,,-117.641164,,8549,E Riverside Dr Bon View Av,Riverside @ Campus Wb Ns,0
34.01925,,-117.667236,,8548,Riverside Dr Mountain Av,Riverside @ Mountain Wb Ns,0
34.03643,,-117.30464,,8019,Barton Rd Preston St,Barton @ Preston Eb Fs,0
34.033942,,-117.310361,,8018,Barton Rd Mount Vernon Av,Barton @ Palm Eb Fs,0
34.01935,,-117.619322,,8545,E Riverside Dr Baker Av,Riverside @ Walker Wb Ns,0
34.033816,,-117.31696,,8016,Barton Rd Canal St,Barton @ Canal Eb Fs,0
34.033771,,-117.321947,,8015,Barton Rd Michigan Av,Barton @ Michigan Eb Fs,0
34.030366,,-117.322272,,8014,Michigan Av Van Buren St,Michigan @ Deberry Nb Ns,0
34.026715,,-117.322234,,8013,Michigan Av Van Buren St,Michigan @ Van Buren Nb Fs,0
34.023109,,-117.32224,,8012,Michigan Av Pico St,Michigan @ Pico Nb Fs,0
34.019449,,-117.322245,,8011,Michigan Av Main St,Michigan @ Main Nb Fs,0
34.019369,,-117.651059,,8542,Riverside Dr E Riverside Dr,Riverside @ Euclid Wb Fs,0
34.077394,,-117.208425,,6572,San Bernardino Av W Lugonia Av,San Bernardino @ Alabama Eb Fs,0
34.077645,,-117.182326,,6573,W Orange St E E Orange St E,Orange @ San Bernardino Nb Fs,0
34.077227,,-117.188389,,6570,W San Bernardino Ave E W Woodbury St E,San Bernardino @ Vermont Eb Fs,0
34.070743,,-117.208686,,6571,Alabama St W Lugonia Av,Lugonia @ Alabama Wb Ns,0
34.095604,,-117.182305,,6576,Orange St Unnamed St,Boulder @ Sunwest Material Nb Fs,0
34.055733,,-117.557984,,7453,S Milliken Ave N E Santa Ana St N,Milliken @ Santa Ana Nb Fs,0
34.081251,,-117.182302,,6574,E Orange St E E Pioneer Ave E,Orange @ Pioneer Nb Fs,0
34.048375,,-117.558138,,7451,S Milliken Av E Jurupa St,Milliken @ Jurupa Nb Fs,0
34.108345,,-117.318642,,5626,W 5th St N Cabrera Av,5th @ Western Wb Fs,0
34.10832,,-117.311903,,5624,W 5th St N Garner Av,5th @ Garner Wb Fs,0
34.108343,,-117.305721,,5622,W 5th St N J St,5th @ J Street Wb Fs,0
34.108345,,-117.30061,,5621,W 5th St N H St,5th @ H Wb Ns,0
34.108346,,-117.296438,,5620,W 5th St N F St,5th @ F Wb Fs,0
34.005019,,-117.65074,,8493,State Rte 83 Euclid Av,Euclid @ Schaefer Nb Fs,0
33.997421,,-117.650703,,8492,State Rte 83 Edison Av,Euclid @ Edison Nb Ns,0
34.10646,,-117.611117,,405,Vineyard Av Foothill Blvd,Vineyard @ Foothill Sb Fs,0
34.132418,,-117.647106,,7697,E 19th St N 1st Ave,19th @ 3rd Eb Fs,0
34.012071,,-117.667369,,8497,Mountain Av Chino Av,Mountain @ Chino Nb Fs,0
34.0119,,-117.650806,,8496,Euclid Av Chino Av,Euclid @ Chino Sb Fs,0
34.125721,,-117.641516,,7692,N Campus Ave E View Point St,Campus @ Viewpoint Nb Ns,0
34.132493,,-117.646856,,7693,E 19th St Francis Av,19th St @ 3rd Wb Ns,0
34.015185,,-117.667391,,8499,Mountain Av Ortega Ct,Mountain @ortega Nb Ns,0
34.012043,,-117.6675,,8498,Mountain Av Chino Av,Mountain @ Chino Sb Ns,0
34.132349,,-117.643051,,7698,E 19th St State Rte 30,Campus @ Highland Grdn Ctr Sb Fs,0
