stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3221,1,9TH AVE & LINCOLN WAY  , ,37.765689,-122.466517, , 
3222,1,9TH AVE & MORAGA ST  , ,37.756677,-122.465884, , 
3223,1,9TH AVE & MORAGA ST  , ,37.756508,-122.465689, , 
3224,1,9TH AVE & NORIEGA ST  , ,37.754804,-122.465758, , 
3225,1,9TH AVE & NORIEGA ST  , ,37.754634,-122.465551, , 
3226,1,9TH AVE & ORTEGA ST  , ,37.752939,-122.465631, , 
3229,1,9TH ST & AVENUE H  , ,37.825196,-122.370063, , 
3230,1,10TH AVE & ORTEGA ST  , ,37.752724,-122.466502, , 
3231,1,10TH AVE & PACHECO ST  , ,37.75086,-122.466376, , 
3232,1,10TH AVE & PACHECO ST  , ,37.750699,-122.466547, , 
3233,1,10TH AVE & QUINTARA ST  , ,37.749325,-122.466261, , 
3234,1,10TH AVE & QUINTARA ST  , ,37.749164,-122.466432, , 
3235,1,11TH ST & BRYANT ST   , ,37.769807,-122.4113, , 
3238,1,11TH ST & HARRISON ST   , ,37.770691,-122.412526, , 
3239,1,11TH ST & HARRISON ST   , ,37.770557,-122.412492, , 
3240,1,11TH ST & HOWARD ST   , ,37.77333,-122.41573, , 
3241,1,11TH ST & HOWARD ST   , ,37.77283,-122.41538, , 
3243,1,11TH ST & MISSION ST   , ,37.774038,-122.416891, , 
3244,1,11TH ST & MARKET ST   , ,37.7755,-122.41852, , 
3245,1,11TH ST & MARKET ST   , ,37.775368,-122.418575, , 
3247,1,14TH AVE & QUINTARA ST   , ,37.74887,-122.47074, , 
3248,1,14TH AVE & SANTIAGO ST  , ,37.74503,-122.4703, , 
3249,1,14TH AVE & TARAVAL ST  , ,37.7434,-122.4703, , 
3250,1,14TH AVE & TARAVAL ST  , ,37.74317,-122.47017, , 
3251,1,14TH AVE & ULLOA ST  , ,37.7416,-122.47004, , 
3252,1,14TH AVE & ULLOA ST  , ,37.74153,-122.47018, , 
3253,1,14TH ST & ALPINE TER  , ,37.767296,-122.437213, , 
3254,1,14TH ST & CHURCH ST  , ,37.767768,-122.429088, , 
3255,1,14TH ST & CHURCH ST  , ,37.76767,-122.42913, , 
3256,1,14TH ST & CASTRO ST  , ,37.76738,-122.43584, , 
3257,1,14TH ST & CASTRO ST  , ,37.76728,-122.43578, , 
3258,1,14TH ST & NOE ST  , ,37.76751,-122.43327, , 
3259,1,14TH ST & NOE ST  , ,37.7674,-122.43356, , 
3260,1,14TH ST & SANCHEZ ST, ,37.76767,-122.431105, , 
3261,1,14TH ST & SANCHEZ ST  , ,37.767536,-122.431277, , 
3262,1,15TH AVE & NORIEGA ST  , ,37.75411,-122.47217, , 
3263,1,15TH AVE & ORTEGA ST  , ,37.75268,-122.47206, , 
3264,1,15TH AVE & PACHECO ST  , ,37.75081,-122.47196, , 
3265,1,15TH AVE & QUINTARA ST  , ,37.74891,-122.47183, , 
3266,1,15TH AVE & TARAVAL ST  , ,37.743124,-122.471297, , 
3267,1,15TH AVE & TARAVAL ST  , ,37.743069,-122.471405, , 
