trip_id,stop_id
9673953-124-A-Weekday-55,313604
9673953-124-A-Weekday-55,313001
9673953-124-A-Weekday-55,314900
9673953-124-A-Weekday-55,314006
9673953-124-A-Weekday-55,314011
9673953-124-A-Weekday-55,315040
9673953-124-A-Weekday-55,315614
9673953-124-A-Weekday-55,315612
9673953-124-A-Weekday-55,315604
9673953-124-A-Weekday-55,315606
9673953-124-A-Weekday-55,315608
9673954-124-A-Weekday-55,311106
9673954-124-A-Weekday-55,312008
9673954-124-A-Weekday-55,313604
9673954-124-A-Weekday-55,313001
9673954-124-A-Weekday-55,314900
9673954-124-A-Weekday-55,314006
9673954-124-A-Weekday-55,314011
9673954-124-A-Weekday-55,315040
9673954-124-A-Weekday-55,315614
9673954-124-A-Weekday-55,315612
9673954-124-A-Weekday-55,315604
9673954-124-A-Weekday-55,315606
9673954-124-A-Weekday-55,315608
9673954-124-A-Weekday-55,316005
9673955-124-A-Weekday-55,311106
9673955-124-A-Weekday-55,312008
9673955-124-A-Weekday-55,313604
9673955-124-A-Weekday-55,313001
9673955-124-A-Weekday-55,314900
9673955-124-A-Weekday-55,314006
9673955-124-A-Weekday-55,314011
9673955-124-A-Weekday-55,315040
9673955-124-A-Weekday-55,315614
9673955-124-A-Weekday-55,315612
9673955-124-A-Weekday-55,315604
9673955-124-A-Weekday-55,315606
9673955-124-A-Weekday-55,315608
9673956-124-A-Weekday-55,311106
9673956-124-A-Weekday-55,312008
9673956-124-A-Weekday-55,313604
9673956-124-A-Weekday-55,313001
9673956-124-A-Weekday-55,314900
9673956-124-A-Weekday-55,314006
9673956-124-A-Weekday-55,314011
9673956-124-A-Weekday-55,315040
9673956-124-A-Weekday-55,315614
9673956-124-A-Weekday-55,315612
9673956-124-A-Weekday-55,315604
9673956-124-A-Weekday-55,315606
9673956-124-A-Weekday-55,315467
9673956-124-A-Weekday-55,315608
9673957-124-A-Weekday-55,311106
9673957-124-A-Weekday-55,312008
9673957-124-A-Weekday-55,313604
9673957-124-A-Weekday-55,313001
9673957-124-A-Weekday-55,314900
9673957-124-A-Weekday-55,314006
9673957-124-A-Weekday-55,314011
9673957-124-A-Weekday-55,315040
9673957-124-A-Weekday-55,315614
