trip_id,realtime_trip_id
9923441-124-C-Saturday-52,2946023
9923442-124-C-Saturday-52,2946027
9923443-124-C-Saturday-52,2946031
9923444-124-C-Saturday-52,2946004
9923445-124-C-Saturday-52,2946008
9923446-124-C-Saturday-52,2946012
9923447-124-C-Saturday-52,2946016
9923448-124-C-Saturday-52,2946020
9923449-124-C-Saturday-52,2946024
9923450-124-C-Saturday-52,2946028
9923451-124-C-Saturday-52,2946032
9923452-124-C-Saturday-52,2946003
9923453-124-C-Saturday-52,2946002
9923454-124-C-Saturday-52,2786012
9923455-124-C-Saturday-52,2786016
9923456-124-C-Saturday-52,2786018
9923457-124-C-Saturday-52,2786002
9923458-124-C-Saturday-52,2786004
9923459-124-C-Saturday-52,2786022
9923460-124-C-Saturday-52,2786010
9923461-124-C-Saturday-52,2786024
