route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
120-155,124-D-Weekday-56,9692293-124-D-Weekday-56,"Colma BART",1201127,1,,1200214
120-155,124-D-Weekday-56,9692294-124-D-Weekday-56,"Brunswick/Templeton",1201068,0,,1200213
120-155,124-D-Weekday-56,9692295-124-D-Weekday-56,"Colma BART",1201073,1,,1200214
120-155,124-D-Weekday-56,9692296-124-D-Weekday-56,"Brunswick/Templeton",1201086,0,,1200213
120-155,124-D-Weekday-56,9692297-124-D-Weekday-56,"Colma BART",1201099,1,,1200214
120-155,124-D-Weekday-56,9692298-124-D-Weekday-56,"Brunswick/Templeton",1201112,0,,1200213
121-155,124-D-Weekday-56,9692299-124-D-Weekday-56,"Skyline College",1211053,1,,1210279
121-155,124-D-Weekday-56,9692300-124-D-Weekday-56,"Pope/Bellevue",1211058,0,,1210280
120-155,124-D-Weekday-56,9692301-124-D-Weekday-56,"Colma BART",1201135,1,,1200214
120-155,124-D-Weekday-56,9692302-124-D-Weekday-56,"Brunswick/Templeton",1201136,0,,1200213
120-155,124-D-Weekday-56,9692303-124-D-Weekday-56,"Colma BART",1201141,1,,1200214
120-155,124-D-Weekday-56,9692304-124-D-Weekday-56,"Brunswick/Templeton",1201142,0,,1200213
295-155,124-D-Weekday-56,9692305-124-D-Weekday-56,"San Carlos Caltrain",2951005,1,,2950072
295-155,124-D-Weekday-56,9692306-124-D-Weekday-56,"San Mateo Caltrain",2951028,0,,2950347
130-155,124-D-Weekday-56,9692307-124-D-Weekday-56,"Daly City BART",1301010,0,,1300241
130-155,124-D-Weekday-56,9692308-124-D-Weekday-56,"Colma BART",1301007,1,,1300240
130-155,124-D-Weekday-56,9692309-124-D-Weekday-56,"Daly City BART",1301020,0,,1300241
130-155,124-D-Weekday-56,9692310-124-D-Weekday-56,"Colma BART",1301017,1,,1300240
120-155,124-D-Weekday-56,9692311-124-D-Weekday-56,"Brunswick/Templeton",1201034,0,,1200213
120-155,124-D-Weekday-56,9692312-124-D-Weekday-56,"Colma BART",1201037,1,,1200214
130-155,124-D-Weekday-56,9692313-124-D-Weekday-56,"Daly City BART",1301046,0,,1300241
130-155,124-D-Weekday-56,9692314-124-D-Weekday-56,"Colma BART",1301041,1,,1300240
130-155,124-D-Weekday-56,9692315-124-D-Weekday-56,"Daly City BART",1301056,0,,1300241
130-155,124-D-Weekday-56,9692316-124-D-Weekday-56,"Colma BART",1301051,1,,1300240
130-155,124-D-Weekday-56,9692317-124-D-Weekday-56,"Daly City BART",1301066,0,,1300241
130-155,124-D-Weekday-56,9692318-124-D-Weekday-56,"Colma BART",1301061,1,,1300240
130-155,124-D-Weekday-56,9692319-124-D-Weekday-56,"Daly City BART",1301076,0,,1300241
130-155,124-D-Weekday-56,9692320-124-D-Weekday-56,"Colma BART",1301071,1,,1300240
130-155,124-D-Weekday-56,9692321-124-D-Weekday-56,"Daly City BART",1301088,0,,1300241
130-155,124-D-Weekday-56,9692322-124-D-Weekday-56,"Colma BART",1301081,1,,1300240
120-155,124-D-Weekday-56,9692323-124-D-Weekday-56,"Colma BART",1201105,1,,1200214
120-155,124-D-Weekday-56,9692324-124-D-Weekday-56,"Brunswick/Templeton",1201116,0,,1200213
130-155,124-D-Weekday-56,9692325-124-D-Weekday-56,"Colma BART",1301103,1,,1300240
120-155,124-D-Weekday-56,9692326-124-D-Weekday-56,"Brunswick/Templeton",1201010,0,,1200213
120-155,124-D-Weekday-56,9692327-124-D-Weekday-56,"Colma BART",1201013,1,,1200214
120-155,124-D-Weekday-56,9692328-124-D-Weekday-56,"Brunswick/Templeton",1201030,0,,1200213
120-155,124-D-Weekday-56,9692329-124-D-Weekday-56,"Colma BART",1201033,1,,1200214
130-155,124-D-Weekday-56,9692330-124-D-Weekday-56,"Daly City BART",1301042,0,,1300241
130-155,124-D-Weekday-56,9692331-124-D-Weekday-56,"Colma BART",1301037,1,,1300240
130-155,124-D-Weekday-56,9692332-124-D-Weekday-56,"Daly City BART",1301052,0,,1300241
130-155,124-D-Weekday-56,9692333-124-D-Weekday-56,"Colma BART",1301047,1,,1300240
