stop_id,accessibility_id,cardinal_direction,relative_position,stop_city
332511,2,NW,FS,Daly City
332512,2,SW,NS,Daly City
332513,2,NW,FS,Daly City
332514,2,NW,NS,Daly City
332517,2,SE,FS,Daly City
332518,2,NE,FS,Daly City
332519,2,NW,NS,Daly City
332522,2,SE,NS,Daly City
332523,2,SW,FS,Daly City
332526,2,NE,NS,Daly City
332527,2,SE,NS,Daly City
332528,2,NW,NS,Daly City
332532,2,WE,OP,Daly City
332533,2,EA,AT,Daly City
332534,2,EA,AT,Daly City
332535,2,EA,AT,Daly City
332536,2,WE,AT,Daly City
332537,2,WE,AT,Daly City
332538,2,WE,AT,Daly City
332544,2,EA,AT,Daly City
332554,2,SE,NS,Daly City
332555,2,SO,OP,Daly City
332556,2,EA,AT,Daly City
332600,2,NE,NS,Daly City
332601,2,NW,FS,Daly City
332602,2,NE,FS,Daly City
332603,2,NE,FS,Daly City
332604,2,SE,FS,Daly City
332605,2,NE,NS,Daly City
332606,2,SE,NS,Daly City
332607,2,SW,NS,Daly City
332608,2,SW,NS,Daly City
333004,2,NW,NS,Colma
333005,2,SE,NS,Colma
333006,2,EA,OP,Colma
333007,2,WE,AT,Colma
333010,2,SW,FS,Colma
333011,2,SE,NS,Colma
333014,2,NE,FS,Colma
333015,2,SE,NS,Colma
333017,2,NE,AT,Colma
333018,2,NW,OP,Daly City
333502,2,WE,AT,Daly City
333503,2,WE,AT,Daly City
333504,2,WE,AT,Daly City
333505,2,WE,AT,Daly City
333506,2,WE,AT,Daly City
333507,2,WE,AT,Daly City
333508,2,EA,AT,Daly City
333509,2,EA,AT,Daly City
333510,2,EA,AT,Daly City
333511,2,EA,AT,Daly City
333512,2,EA,AT,Daly City
333513,2,WE,OP,Daly City
333515,2,NW,FS,Daly City
333516,2,NW,NS,Colma
334002,2,SE,NS,South San Francisco
334003,2,NE,FS,South San Francisco
334004,2,SW,FS,South San Francisco
334005,2,NW,NS,South San Francisco
334006,2,SW,FS,South San Francisco
334007,2,EA,AT,South San Francisco
334008,2,SW,FS,South San Francisco
334009,2,SE,NS,South San Francisco
334010,2,SE,NS,South San Francisco
334011,2,WE,OP,South San Francisco
334012,2,NE,FS,South San Francisco
334013,2,SE,NS,South San Francisco
334016,2,SE,FS,South San Francisco
334017,2,NE,NS,South San Francisco
334021,2,NE,NS,South San Francisco
334024,2,SW,NS,South San Francisco
334025,2,NW,FS,South San Francisco
334027,2,NW,FS,South San Francisco
334028,2,NW,FS,South San Francisco
334029,2,NW,FS,South San Francisco
334030,2,SE,FS,South San Francisco
334031,2,SO,OP,South San Francisco
334032,2,NW,FS,South San Francisco
334033,2,NE,NS,South San Francisco
334034,2,SW,NS,South San Francisco
334042,2,SE,NS,South San Francisco
334043,2,NW,NS,South San Francisco
334044,2,SE,NS,South San Francisco
334046,2,NW,NS,South San Francisco
334047,2,NW,NS,South San Francisco
334048,2,NE,FS,South San Francisco
334050,2,NW,FS,South San Francisco
334051,2,NW,NS,South San Francisco
334052,2,SW,FS,South San Francisco
334053,2,SW,NS,South San Francisco
334054,2,SE,NS,South San Francisco
334055,2,SW,FS,South San Francisco
334058,2,SE,NS,South San Francisco
334059,2,SW,FS,South San Francisco
334060,2,NW,NS,South San Francisco
334062,2,NW,NS,South San Francisco
334063,2,SE,NS,South San Francisco
334073,2,NE,FS,South San Francisco
334074,2,SW,FS,South San Francisco
334075,2,EA,OP,Colma
334076,2,EA,OP,South San Francisco
334077,2,NW,NS,South San Francisco
334078,2,NW,NS,South San Francisco
334079,2,EA,OP,South San Francisco
334080,2,SW,FS,South San Francisco
334081,2,EA,OP,South San Francisco
334082,2,SW,FS,South San Francisco
334083,2,SE,NS,South San Francisco
334084,2,NE,FS,South San Francisco
334085,2,WE,OP,South San Francisco
334086,2,WE,AT,South San Francisco
334087,2,NW,NS,South San Francisco
334088,2,SW,FS,South San Francisco
334089,2,NE,FS,South San Francisco
334090,2,NW,NS,South San Francisco
334091,2,SE,NS,South San Francisco
334095,2,NE,NS,South San Francisco
334103,2,NW,FS,South San Francisco
334105,2,SW,FS,South San Francisco
334106,2,SE,NS,South San Francisco
334107,2,WE,OP,South San Francisco
334112,2,NW,NS,South San Francisco
334114,2,SW,FS,South San Francisco
334116,2,SE,NS,South San Francisco
334117,2,SW,FS,South San Francisco
334118,2,NW,OP,South San Francisco
334119,2,SW,FS,South San Francisco
334120,2,SW,NS,South San Francisco
334121,2,NW,FS,South San Francisco
334122,2,SE,FS,South San Francisco
334123,2,NW,FS,South San Francisco
334124,2,NW,FS,South San Francisco
334125,2,NW,FS,South San Francisco
334126,2,SE,FS,South San Francisco
334127,2,NW,FS,South San Francisco
334128,2,SE,FS,South San Francisco
334129,2,SE,FS,South San Francisco
334130,2,NW,FS,South San Francisco
334131,2,SE,FS,South San Francisco
334132,2,NW,FS,South San Francisco
334133,2,NE,NS,South San Francisco
334134,2,SE,FS,South San Francisco
334135,2,SE,FS,South San Francisco
334136,2,NE,NS,South San Francisco
334137,2,SE,FS,South San Francisco
334138,2,NW,FS,South San Francisco
334139,2,NE,FS,South San Francisco
334140,2,SE,FS,South San Francisco
334141,2,NO,OP,South San Francisco
334142,2,SE,FS,South San Francisco
334143,2,SW,NS,South San Francisco
334144,2,NE,NS,South San Francisco
