stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_name,location_type
37.939406,,-122.035627,831776,,Minert Rd/Weaver Ln,0
37.942184,,-122.030231,831777,,Minert Rd/Litkin Dr,0
37.929867,,-122.023476,831778,,Mitchell Dr/Park And Ride,0
37.930099,,-122.023269,831779,,Mitchell Dr/Park And Ride,0
37.882826,,-122.188304,831407_merged_422181191,,26 Orinda Way,0
37.851097,,-122.125122,831341,,Moraga Rd/Devin Dr,0
37.846572,,-122.126029,831340,,Moraga Rd/Corliss Dr,0
37.857513,,-122.124173,831343,,Moraga Rd/Kendall Cir,0
37.854372,,-122.124843,831342,,Moraga Rd/Ascot Dr,0
37.868317,,-122.125093,831345,,Moraga Rd/Campolindo Dr,0
37.864509,,-122.124063,831344,,Moraga Rd/Buckingham Dr,0
37.872494,,-122.124082,831347,,Moraga Rd/Via Granada Dr,0
37.872637,,-122.123807,831346,,Moraga Rd/Via Granada Dr,0
37.864321,,-122.124315,831349,,Moraga Rd/Buckingham Dr,0
37.868245,,-122.1253,831348,,Moraga Rd/Campolindo Dr,0
37.766281,,-121.986486,831583,,Bollinger Canyon Rd/Marsh Dr,0
37.767708,,-121.98895,831582,,Bollinger Canyon Rd/Dos Rios Dr,0
37.76925,,-121.992882,831581,,Bollinger Canyon Rd/Anza Ct,0
37.772399,,-121.995955,831580,,Bollinger Canyon Rd/Crow Canyon Rd,0
37.759145,,-121.977029,831587,,Bollinger Canyon Rd/Morgan Dr,0
37.761759,,-121.98088,831586,,Bollinger Canyon Rd/Paddock Dr,0
