route_id,service_id,trip_headsign,trip_id,direction_id,block_id,shape_id
18,1_merged_422181218,BART North Concord via VA Clinic/Diablo Valley College,42149928,0,,38343
34,2_merged_422181208,BART Walnut Creek via BART Pleasant Hill,340002011,0,,
34,2_merged_422181208,BART Walnut Creek via BART Pleasant Hill,340002017,0,,
34,2_merged_422181208,BART Walnut Creek via BART Pleasant Hill,340002014,0,,
4,3_merged_422181207,BART Pleasant Hill,40003057,0,,
4,3_merged_422181207,BART Pleasant Hill,40003054,0,,
4,3_merged_422181207,BART Pleasant Hill,40003051,0,,
30,5_merged_422181221,BART Walnut Creek,422172127,1,,38372
20,5_merged_422181209,Rossmoor via BART Walnut Creek,200005014,0,,
20,5_merged_422181209,Rossmoor via BART Walnut Creek,200005011,0,,
20,5_merged_422181209,Rossmoor via BART Walnut Creek,200005010,0,,
10,1_merged_422181206,John Muir Medical Center,100001022,0,,
10,1_merged_422181206,John Muir Medical Center,100001025,0,,
2,1_merged_422181206,BART Concord,21001040,1,,
2,1_merged_422181206,BART Concord,21001043,1,,
35,3_merged_422181219,Airport Plaza,42246218,0,,38420
35,2_merged_422181220,Airport Plaza,42246217,0,,38420
35,1_merged_422181218,Airport Plaza,42246216,0,,38420
12,3_merged_422181219,Diablo Valley College,42131951,1,,38332
12,2_merged_422181220,Diablo Valley College,42131950,1,,38332
12,2_merged_422181220,Diablo Valley College,42131223,1,,38332
12,1_merged_422181218,Diablo Valley College,42131222,1,,38332
2,2_merged_422181220,Clayton,42095538,0,,38308
2,3_merged_422181219,Clayton,42095539,0,,38308
30,5_merged_422181221,Broadway Plaza,422140105,0,,38371
2,1_merged_422181218,Clayton,42095537,0,,38308
2,1_merged_422181218,Clayton,42097022,0,,38308
2,2_merged_422181220,Clayton,42097023,0,,38308
2,3_merged_422181219,Clayton,42097024,0,,38308
8,2_merged_422181208,BART Pleasant Hill,80002020,0,,
2,2_merged_422181220,BART Concord,42099023,1,,38310
8,2_merged_422181208,BART Pleasant Hill,80002023,0,,
8,2_merged_422181208,BART Pleasant Hill,80002026,0,,
8,2_merged_422181208,BART Pleasant Hill,80002029,0,,
11,1_merged_422181206,BART Walnut Creek,111001007,1,,
11,1_merged_422181206,BART Walnut Creek,111001001,1,,
14,1_merged_422181218,BART Lafayette via Mount Diablo Blvd,4214067,1,,38336
30,1_merged_422181218,Broadway Plaza,422002129,0,,38371
14,2_merged_422181220,BART Lafayette via Mount Diablo Blvd,4214068,1,,38336
14,3_merged_422181219,BART Lafayette via Mount Diablo Blvd,4214069,1,,38336
6,3_merged_422181219,BART Concord via Downtown Pleasant Hill,42117066,1,,38319
6,2_merged_422181220,BART Concord via Downtown Pleasant Hill,42117065,1,,38319
6,1_merged_422181218,BART Concord via Downtown Pleasant Hill,42117064,1,,38319
32,4_merged_422181210,BART Lafayette via Saint Mary's College,320004021,0,,
30,2_merged_422181208,Broadway Plaza,300002166,0,,
33,1_merged_422181218,BART Pleasant Hill,4223897,1,,38416
30,2_merged_422181208,BART Walnut Creek,301002184,1,,
33,2_merged_422181220,BART Pleasant Hill,4223898,1,,38416
30,2_merged_422181208,BART Walnut Creek,301002187,1,,
2,2_merged_422181220,BART Concord,42099286,1,,38310
2,3_merged_422181219,BART Concord,42099287,1,,38310
2,1_merged_422181218,BART Concord,42099285,1,,38310
30,4_merged_422181222,BART Walnut Creek,422114115,1,,38372
15,5_merged_422181221,,4214391,1,,38338
30,2_merged_422181208,Broadway Plaza,300002184,0,,
30,2_merged_422181208,Broadway Plaza,300002187,0,,
41,1_merged_422181218,BART Walnut Creek,4225871,0,,38442
41,3_merged_422181219,BART Walnut Creek,4225873,0,,38442
41,2_merged_422181220,BART Walnut Creek,4225872,0,,38442
4,3_merged_422181207,BART Concord,41003066,1,,
12,2_merged_422181208,BART Concord,120002032,0,,
12,2_merged_422181208,BART Concord,120002035,0,,
4,3_merged_422181207,BART Concord,41003063,1,,
4,3_merged_422181207,BART Concord,41003060,1,,
12,2_merged_422181208,BART Concord,120002038,0,,
4,2_merged_422181208,BART Pleasant Hill,40002017,0,,
4,2_merged_422181208,BART Pleasant Hill,40002011,0,,
4,3_merged_422181207,BART Concord,41003069,1,,
30,1_merged_422181218,BART Walnut Creek,422065189,1,,38372
14,2_merged_422181220,BART Lafayette via Mount Diablo Blvd,42141123,1,,38336
14,1_merged_422181218,BART Lafayette via Mount Diablo Blvd,42141122,1,,38336
10,2_merged_422181220,John Muir Medical Center,42125026,0,,38327
14,3_merged_422181219,BART Lafayette via Mount Diablo Blvd,42141124,1,,38336
10,1_merged_422181218,John Muir Medical Center,42125025,0,,38327
7,2_merged_422181220,BART Concord via John Muir Medical Center,42120032,1,,38322
7,3_merged_422181219,BART Concord via John Muir Medical Center,42120033,1,,38322
7,1_merged_422181218,BART Concord via John Muir Medical Center,42120031,1,,38322
26,5_merged_422181221,Diablo Valley College via Diamond Blvd,42185420,1,,38362
25,5_merged_422181209,Martinez via Downtown Pleasant Hill,250005009,0,,
25,5_merged_422181209,Martinez via Downtown Pleasant Hill,250005008,0,,
25,5_merged_422181209,Martinez via Downtown Pleasant Hill,250005002,0,,
41,1_merged_422181206,BART Walnut Creek,410001043,0,,
25,5_merged_422181209,Martinez via Downtown Pleasant Hill,250005005,0,,
25,5_merged_422181209,Martinez via Downtown Pleasant Hill,250005004,0,,
4,2_merged_422181220,BART Concord,42108850,1,,38315
4,3_merged_422181219,BART Concord,42108851,1,,38315
3,3_merged_422181219,BART Concord,42103633,0,,38312
3,2_merged_422181220,BART Concord,42103632,0,,38312
3,1_merged_422181218,BART Concord,42103631,0,,38312
32,1_merged_422181218,BART Orinda via Saint Mary's College,42226661,1,,38376
32,2_merged_422181220,BART Orinda via Saint Mary's College,42226662,1,,38376
32,3_merged_422181219,BART Orinda via Saint Mary's College,42226663,1,,38376
1,3_merged_422181207,Rossmoor via BART Walnut Creek,10003012,0,,
1,3_merged_422181207,Rossmoor via BART Walnut Creek,10003015,0,,
42,1_merged_422181206,,420001004,0,,
1,3_merged_422181207,Rossmoor via BART Walnut Creek,10003018,0,,
42,1_merged_422181206,,420001007,0,,
42,1_merged_422181206,,420001001,0,,
31,2_merged_422181220,BART Walnut Creek,42222965,1,,38374
31,1_merged_422181218,BART Walnut Creek,42222964,1,,38374
