"fare_id","origin_id","destination_id"
"24","94","145"
"20","95","81"
"21","95","82"
"1","95","83"
"15","95","84"
"17","95","85"
"15","95","86"
"1","95","87"
"41","95","88"
"28","95","89"
"14","95","90"
"11","95","91"
"8","95","92"
"20","95","93"
"27","95","94"
"25","95","96"
"18","95","97"
"13","95","98"
"18","95","99"
"28","95","100"
"33","95","101"
"45","95","102"
"46","95","103"
"15","95","104"
"10","95","105"
"37","95","106"
"27","95","107"
"30","95","108"
"25","95","109"
"11","95","110"
"52","95","111"
"23","95","112"
"47","95","113"
"41","95","114"
"33","95","115"
"14","95","116"
"30","95","117"
"21","95","118"
"27","95","119"
"36","95","120"
"34","95","121"
"31","95","122"
"39","95","123"
"35","95","124"
"22","95","125"
"30","95","126"
"31","95","127"
"18","95","128"
"23","95","129"
"25","95","130"
"8","95","131"
"17","95","132"
"21","95","133"
"34","95","134"
"28","95","135"
"38","95","142"
"41","95","143"
"46","95","128"
"47","95","145"
"32","96","81"
"32","96","82"
"23","96","83"
"32","96","84"
"38","96","85"
"37","96","86"
"30","96","87"
"62","96","88"
"49","96","89"
"14","96","90"
"32","96","91"
"21","96","92"
"32","96","93"
"32","96","94"
"25","96","95"
"32","96","97"
"35","96","98"
"32","96","99"
"32","96","100"
"36","96","101"
"45","96","102"
"68","96","103"
"13","96","104"
"32","96","105"
"59","96","106"
"47","96","107"
"32","96","108"
"47","96","109"
"32","96","110"
"55","96","111"
"32","96","112"
"69","96","113"
"41","96","114"
"33","96","115"
"15","96","116"
"49","96","117"
"1","96","118"
"1","96","119"
"36","96","120"
"34","96","121"
"7","96","122"
"43","96","123"
"38","96","124"
"32","96","125"
"50","96","126"
"53","96","127"
"40","96","128"
"43","96","129"
"32","96","130"
"32","96","131"
"8","96","132"
"43","96","133"
"40","96","134"
"32","96","135"
"38","96","142"
"41","96","143"
"46","96","128"
"47","96","145"
"1","97","81"
"7","97","82"
"18","97","83"
"1","97","84"
"25","97","85"
"24","97","86"
"18","97","87"
"49","97","88"
"36","97","89"
"21","97","90"
"13","97","91"
"18","97","92"
"20","97","93"
