place_id,place_name,reference_place,place_lat,place_long
ecbmf,East County Garage,,32.812410115775,-116.970622678025
ehhidd,East "H" St & Hidden Vista,,32.640383733381,-117.048760772636
elc30,El Cajon Blvd & 30th St,,32.755319871499,-117.130183537515
elc48,El Cajon Blvd & 48th St,,32.756282087608,-117.090614773976
elc70,El Cajon Blvd & 70 St.,,32.768907922548,-117.047242978815
elc701,El Cajon Blvd & 70 St.,,32.768681347688,-117.046619900672
elcco1,El Cajon Blvd & College Ave,,32.761111781092,-117.067538704073
elccol,El Cajon Blvd & College Ave,,32.761648721819,-117.066767544622
elcorg,El Cajon Blvd &  Oregon,,32.755295347209,-117.134842111201
elcS,El Cajon,,32.791937160124,-116.976172428768
emaanz,East Main St & Anza St,,32.794915365656,-116.947875849377
emaba1,East Main St & Ballantyne St,,32.794912667568,-116.956179650723
emabal,East Main St & Ballantyne St,,32.794945055442,-116.957819003784
emagre,East Main St & Greenfield Dr,,32.811739556460,-116.918934443573
enctro,Encanto/62nd St Trolley Station,,32.710358501991,-117.063650198068
epala1,E Palomar & La Media,,32.632281546660,-116.987373951862
epalam,E Palomar & La Media,,32.632925715545,-116.987982839633
epame1,E Palomar & Med Ctr Dr,,32.614193647716,-117.027204785914
epamed,E Palomar & Med Ctr Dr,,32.614551454851,-117.026993929074
esctc,Escondido Transit Center,,33.118829215586,-117.090837837592
estS_N,E Street,estS,32.639046498841,-117.098930328297
estS_S,E Street,estS,32.639001451676,-117.099085817389
etro,E Street Transit Center,,32.638779085532,-117.098449268755
euccas,Euclid Av & Castle Av,,32.745419413724,-117.092314546020
eucS_N,Euclid,eucS,32.709618357681,-117.086245178293
eucS_S,Euclid,eucS,32.709499090127,-117.085593850472
eucswt,Euclid Ave & Sweetwater,,32.661896867105,-117.078582338751
euctro,Euclid Ave Station,,32.710022757546,-117.086190496769
exeexe,Executive Dr. & Executive Wy.,,32.875900347276,-117.209835111065
faihom,Fairmount & Home Ave,,32.728593134950,-117.099243381194
faitho,Fairmount & Thorn St,,32.740265170125,-117.100962419702
faiuni,Fairmount & University Ave,,32.749931391392,-117.101000486080
fasvt1,Fashion Valley Transit Center,fasvtc,32.765493403994,-117.169949807490
fasvt2,Fashion Valley Transit Center,fasvtc,32.765689944622,-117.169024732941
fasvtc,Fashion Valley Transit Center,,32.765618256681,-117.169424113229
favS_N,Fashion Valley,favS,32.765411794494,-117.169467501299
favS_S,Fashion Valley,favS,32.765539599662,-117.168544962927
fenS_N,Fenton Parkway,fenS,32.778504465298,-117.126966472054
fenS_S,Fenton Parkway,fenS,32.778594075535,-117.126733109210
flegar,Fletcher Pkwy & Garfield Ave.,,32.802652791861,-116.997017345599
frmS_N,Grantville,frmS,32.780664816117,-117.097855111625
frmS_S,Grantville,frmS,32.780296606608,-117.097041421296
froast,Front & "A" St.,,32.718656648397,-117.164825184986
frobro,Front St & Broadway,,32.715816146324,-117.164850323968
frobst,Front & "B" St.,,32.717782244372,-117.164727673707
