stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7826,7826,Mt Diablo Av & Pixie Woods (1 Sch),Mt Diablo Ave & Pixie Woods,37.954943,-121.342523,,,,,,0
4102,4102,Harding Wy & Golden Gate Ave EB,,37.975061,-121.254549,,,,,,0
4105,4105,San Joaquin St & Park St SB,,37.960111,-121.289088,,,,,,0
4109,4109,Magnolia St & Aurora St,,37.965261,-121.282736,,,,,,0
7845,7845,Flora & D St EB,"Flora St & ""D"" St",37.966112,-121.263638,,,,,,0
7847,7847,Mall Transfer Metro Hopper Dep,,37.996896,-121.31349,,,,,,0
4118,4118,Los Molinas & Goya SB,,38.018446,-121.307114,,,,,,0
7848,7848,Sutter Gould Medical Center,Sutter Gould Med Ctr,38.022633,-121.347126,,,,,,0
7850,7850,Tracy Multi-Modal Center,,37.734533,-121.424282,,,,,,0
7851,7851,East St & Tenth Street SB,,37.738330,-121.421240,,,,,,0
7901,7901,Airport Wy & 8th St Arr NB,,37.931671,-121.267055,,,,,,0
7903,7903,Aurora St & Weber Ave SB,,37.956339,-121.279871,,,,,,0
7904,7904,Aurora St & Channel St NB,,37.956446,-121.279906,,,,,,0
7905,7905,Airport Wy & Sonora St SB,,37.951424,-121.273114,,,,,,0
7906,7906,Airport Wy & Sonora St NB,,37.95146,-121.273103,,,,,,0
7911,7911,B & 9th St SB,,37.932886,-121.255018,,,,,,0
4145,4145,Pacific Av & Walnut St NB,,37.96853,-121.298734,,,,,,0
4146,4146,Pacific Av & Walnut St SB,,37.968869,-121.298883,,,,,,0
4141,4141,8th St & Scribner St EB,,37.932734,-121.259785,,,,,,0
4142,4142,B & Gerald SB,,37.927523,-121.252836,,,,,,0
4143,4143,B & Ralph Ave SB,,37.923240,-121.251200,,,,,,0
4157,4157,Lever Blvd & Hawaii St WB,,37.923186,-121.30192,,,,,,0
4158,4158,Lever Blvd & Donati Cir WB,,37.92337,-121.307823,,,,,,0
4161,4161,Hickock Dr & Pawnee Wy SB,,38.038139,-121.336011,,,,,,0
4160,4160,Hickock Dr & Chaparral Wy SB,,38.041147,-121.333829,,,,,,0
4164,4164,Ponce De Leon & Santa Maria EB,,38.0301,-121.322086,,,,,,0
4165,4165,Ponce De Leon & Santa Paula EB,,38.030092,-121.319487,,,,,,0
4171,4171,Davis Rd & Goldenoak Wy SB,,38.0317,-121.331795,,,,,,0
7916,7916,8th St & Pajaro Wy EB,,37.926635,-121.310008,,,,,,0
7919,7919,Filbert St & Fremont St SB,,37.965488,-121.256203,,,,,,0
4068,4068,Main & Shasta Ave EB,,37.954638,-121.247907,,,,,,0
4067,4067,Main & David Ave WB,,37.954602,-121.246804,,,,,,0
7921,7921,Country Club Blvd & Ryde Ave Arr WB,,37.963887,-121.337512,,,,,,0
4129,4129,March Ln & Feather River EB,,37.984321,-121.347168,,,,,,0
7923,7923,McGaw St & Rose Marie NB,,37.984771,-121.328307,,,,,,0
4176,4176,Country Club Blvd & Gardena Ave WB,,37.963198,-121.340281,,,,,,0
4177,4177,Kirk St & Michigan Ave NB,,37.966120,-121.342630,,,,,,0
4179,4179,Downing & Mourfield WB,Downing Ave & Mourfield Ave,37.913904,-121.284115,,,,,,0
4184,4184,Filbert St & Weber Ave SB,,37.960902,-121.254146,,,,,,0
4185,4185,Bianchi Rd & Ebbet Pl WB,,37.990975,-121.306128,,,,,,0
4186,4186,Bianchi Rd & Claremont Ave EB,,37.991341,-121.305634,,,,,,0
7924,7924,Filbert St & Main St NB,,37.95487,-121.251883,,,,,,0
4120,4120,Cherokee Rd & F St EB,,37.977898,-121.264525,,,,,,0
9901,9901,Lathrop Park and Ride,,37.823795,-121.287803,,,,,,0
4189,4189,MLK Blvd & El Dorado EB,,37.938900,-121.285640,,,,,,0
4190,4190,MLK Blvd & Sutter St EB,,37.939618,-121.282128,,,,,,0
4191,4191,Davis Rd & Goldenoak Wy NB,,38.031717,-121.331783,,,,,,0
4192,4192,Davis Rd & Wagner Heights Rd SB,,38.035545,-121.331856,,,,,,0
4193,4193,Airport Wy @ Fairgrounds Ent NB,,37.936239,-121.26871,,,,,,0
4194,4194,Alpine & Bonnie Ln EB,,37.97869,-121.304533,,,,,,0
7928,7928,MacArthur Blvd & Pescadero Ave NB,,37.761546,-121.414696,,,,,,0
7929,7929,MacArthur Blvd & Pombo Square Dr,,37.760074,-121.41467,,,,,,0
4195,4195,8th St & Lever Blvd EB,,37.926649,-121.29734,,,,,,0
4196,4196,Waterloo Rd & Report Ave EB,,37.98178,-121.254492,,,,,,0
4197,4197,Waterloo Rd & Report Ave WB,,37.981762,-121.254549,,,,,,0
4198,4198,Mathews Rd & Wolfe Rd WB,,37.882687,-121.302294,,,,,,0
4199,4199,East St & Highland Ave SB,,37.741783,-121.421171,,,,,,0
4200,4200,Grant Line Rd & Parker Ave WB,,37.754217,-121.429954,,,,,,0
4201,4201,Grant Line Rd & Lincoln Blvd WB,,37.75417,-121.443589,,,,,,0
4202,4202,Grant Line Rd & Lincoln Blvd EB,,37.754161,-121.443543,,,,,,0
4203,4203,Grant Line Rd & Bessie Ave EB,,37.754195,-121.433094,,,,,,0
4204,4204,Lever Blvd & Boston Ave NB,,37.92449,-121.29828,,,,,,0
4206,4206,Alpine & El Dorado St WB,,37.98003,-121.299316,,,,,,0
4205,4205,Oak St & El Dorado St EB,,37.958691,-121.291443,,,,,,0
7932,7932,Hammer Ln & Kathleen Dr EB,,38.020913,-121.296858,,,,,,0
4207,4207,Swain Rd & El Dorado St EB,,38.007257,-121.308543,,,,,,0
4208,4208,Swain Rd & Kermit Lane EB,,38.008794,-121.302519,,,,,,0
4209,4209,West Lane & Morada Ln NB,,38.036875,-121.295062,,,,,,0
4210,4210,Hutchins St & Century Blvd NB,,38.107391,-121.278847,,,,,,0
4211,4211,Hutchins St & Century Blvd SB,,38.107668,-121.278859,,,,,,0
4212,4212,West Lane & Morada Ln SB,,38.03692,-121.295074,,,,,,0
