"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id"
"4354","64354","CALIFORNIA & OBERLIN","","37.420834239999998","-122.149301138","1"
"4353","64353","CALIFORNIA & HANOVER","","37.419470998999998","-122.150440433","1"
"4422","64422","HANOVER & CALIFORNIA","","37.419069196000002","-122.15060246100001","1"
"4352","64352","HANOVER & PAGE MILL","","37.417529393999999","-122.14745811","1"
"4437","64437","PAGE MILL & HANOVER","","37.417523207999999","-122.146488898","1"
"4423","64423","HANOVER & PAGE MILL","","37.417498653000003","-122.147662528","1"
"4424","64424","HANOVER & PAGE MILL","","37.416778878000002","-122.14634362699999","1"
"513","60513","EL CAMINO & STANFORD","","37.428061081000003","-122.149322029","1"
"334","60334","EL CAMINO & OXFORD","","37.426744995999996","-122.14829921899999","1"
"512","60512","EL CAMINO & CALIFORNIA","","37.425354231","-122.146107273","1"
"4419","64419","CALIFORNIA & EL CAMINO","","37.424294211000003","-122.146580472","1"
"335","60335","EL CAMINO & CALIFORNIA","","37.42478741","-122.145650991","1"
"4420","64420","CALIFORNIA & WELLSLEY","","37.422621089000003","-122.147961963","1"
"4355","64355","CALIFORNIA & WELLSLEY","","37.422660800000003","-122.147777558","1"
"514","60514","EL CAMINO & PARK","","37.430257881000003","-122.15180861","1"
"333","60333","EL CAMINO & SERRA","","37.429590353000002","-122.151525132","1"
"1557","61557","MIDDLEFIELD & CHANNING","","37.447758565000001","-122.15199164400001","1"
"1556","61556","MIDDLEFIELD & ADDISON","","37.446947936000001","-122.15071600500001","1"
"1572","61572","MIDDLEFIELD & ADDISON","","37.446652610999998","-122.15044154500001","1"
"1555","61555","MIDDLEFIELD & KINGSLEY","","37.445383262","-122.14822476499999","1"
"1573","61573","MIDDLEFIELD & KINGSLEY","","37.445061391000003","-122.147913217","1"
"1554","61554","MIDDLEFIELD & MELVILLE","","37.444584917999997","-122.146967276","1"
"1574","61574","MIDDLEFIELD & MELVILLE","","37.444274333999999","-122.146670808","1"
"1558","61558","HOMER & WEBSTER","","37.446997123000003","-122.15448124","1"
"1571","61571","CHANNING & WEBSTER","","37.446584115","-122.152726655","1"
"4337","64337","MIRANDA & ARASTRADERO (MD)","","37.400511688000002","-122.137747183","1"
"4339","64339","MIRANDA & HOSPITAL DRIVEWAY","","37.400064862000001","-122.137135406","1"
"4343","64343","HILLVIEW & ARASTRADERO","","37.398937638","-122.144393482","1"
"4386","64386","HILLVIEW & COYOTE HILL","","37.398645999999999","-122.144451","1"
"4387","64387","HILLVIEW & ARASTRADERO","","37.395357730999997","-122.143507738","1"
"4342","64342","HILLVIEW & ARASTRADERO","","37.39502229","-122.14328113800001","1"
