trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops
t_156471_b_2753_tn_7,,,768377,13,,0,0,6207.97635368874,0,0
t_156471_b_2753_tn_7,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_7,13:20:00,13:20:00,835001,15,,0,0,8140.84511733265,1,0
t_156471_b_2753_tn_7,13:26:00,13:26:00,768193,16,,0,0,9713.2042632724,1,0
t_156471_b_2753_tn_7,13:29:00,13:29:00,768401,17,,0,0,10404.7823031801,1,0
t_156471_b_2753_tn_7,,,768165,18,,0,0,10652.2143428474,0,0
t_156471_b_2753_tn_7,,,768172,19,,0,0,11056.5570338026,0,0
t_156471_b_2753_tn_7,,,768187,20,,0,0,11633.449217858,0,0
t_156471_b_2753_tn_7,,,768188,21,,0,0,12499.5625569853,0,0
t_156471_b_2753_tn_7,,,768189,22,,0,0,12958.7032306511,0,0
t_156471_b_2753_tn_7,13:33:00,13:33:00,768190,23,,0,0,13551.3182182691,1,0
t_156471_b_2753_tn_7,,,768170,24,,0,0,14455.3878373472,0,0
t_156471_b_2753_tn_7,,,768171,25,,0,0,14856.9498853199,0,0
t_156471_b_2753_tn_7,13:38:00,13:38:00,768398,26,,0,0,15692.7521023448,1,0
t_156471_b_2753_tn_7,13:43:00,13:43:00,768395,27,,0,0,17021.62125519,1,0
t_156471_b_2753_tn_8,14:00:00,14:00:00,768395,1,,0,0,0,1,0
t_156471_b_2753_tn_8,14:06:00,14:06:00,768346,2,,0,0,1528.86917125406,1,0
t_156471_b_2753_tn_8,,,768391,3,,0,0,2182.5810600238,0,0
t_156471_b_2753_tn_8,,,768386,4,,0,0,2713.07475786074,0,0
t_156471_b_2753_tn_8,,,768388,5,,0,0,3057.34968211005,0,0
t_156471_b_2753_tn_8,,,768378,6,,0,0,3402.24246237885,0,0
t_156471_b_2753_tn_8,14:11:00,14:11:00,768396,7,,0,0,3592.95486655556,1,0
t_156471_b_2753_tn_8,,,768374,8,,0,0,4044.50302060446,0,0
t_156471_b_2753_tn_8,,,768387,9,,0,0,4576.3991630371,0,0
t_156471_b_2753_tn_8,,,768163,10,,0,0,4952.91020493799,0,0
t_156471_b_2753_tn_8,,,768164,11,,0,0,5294.2473084283,0,0
t_156471_b_2753_tn_8,14:15:00,14:15:00,768381,12,,0,0,5572.68673072144,1,0
t_156471_b_2753_tn_8,,,768377,13,,0,0,6207.97635368874,0,0
t_156471_b_2753_tn_8,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_8,14:20:00,14:20:00,835001,15,,0,0,8140.84511733265,1,0
t_156471_b_2753_tn_8,14:26:00,14:26:00,768193,16,,0,0,9713.2042632724,1,0
t_156471_b_2753_tn_8,14:29:00,14:29:00,768401,17,,0,0,10404.7823031801,1,0
t_156471_b_2753_tn_8,,,768165,18,,0,0,10652.2143428474,0,0
t_156471_b_2753_tn_8,,,768172,19,,0,0,11056.5570338026,0,0
t_156471_b_2753_tn_8,,,768187,20,,0,0,11633.449217858,0,0
t_156471_b_2753_tn_8,,,768188,21,,0,0,12499.5625569853,0,0
t_156471_b_2753_tn_8,,,768189,22,,0,0,12958.7032306511,0,0
t_156471_b_2753_tn_8,14:33:00,14:33:00,768190,23,,0,0,13551.3182182691,1,0
t_156471_b_2753_tn_8,,,768170,24,,0,0,14455.3878373472,0,0
t_156471_b_2753_tn_8,,,768171,25,,0,0,14856.9498853199,0,0
t_156471_b_2753_tn_8,14:38:00,14:38:00,768398,26,,0,0,15692.7521023448,1,0
t_156471_b_2753_tn_8,14:43:00,14:43:00,768395,27,,0,0,17021.62125519,1,0
t_156471_b_2753_tn_9,15:00:00,15:00:00,768395,1,,0,0,0,1,0
t_156471_b_2753_tn_9,15:06:00,15:06:00,768346,2,,0,0,1528.86917125406,1,0
t_156471_b_2753_tn_9,,,768391,3,,0,0,2182.5810600238,0,0
t_156471_b_2753_tn_9,,,768386,4,,0,0,2713.07475786074,0,0
t_156471_b_2753_tn_9,,,768388,5,,0,0,3057.34968211005,0,0
t_156471_b_2753_tn_9,,,768378,6,,0,0,3402.24246237885,0,0
t_156471_b_2753_tn_9,15:11:00,15:11:00,768396,7,,0,0,3592.95486655556,1,0
t_156471_b_2753_tn_9,,,768374,8,,0,0,4044.50302060446,0,0
t_156471_b_2753_tn_9,,,768387,9,,0,0,4576.3991630371,0,0
t_156471_b_2753_tn_9,,,768163,10,,0,0,4952.91020493799,0,0
t_156471_b_2753_tn_9,,,768164,11,,0,0,5294.2473084283,0,0
t_156471_b_2753_tn_9,15:15:00,15:15:00,768381,12,,0,0,5572.68673072144,1,0
t_156471_b_2753_tn_9,,,768377,13,,0,0,6207.97635368874,0,0
t_156471_b_2753_tn_9,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_9,15:20:00,15:20:00,835001,15,,0,0,8140.84511733265,1,0
