stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
80307,80307,West Third St @ Dutton Ave,38.433994,-122.726921,0
80308,80308,West Third St @ Roberts Ave,38.435104,-122.722916,0
80309,80309,Marlow Rd @ Jennings Ave,38.449966,-122.751213,0
80310,80310,E St @ Fourth St,38.441593,-122.710388,0
80311,80311,Fourth St @ Pierce St,38.444817,-122.704811,0
80312,80312,Fourth St @ Talbot Ave,38.447327,-122.701111,0
80313,80313,Fourth St @ Rogers Wy,38.45018,-122.692772,0
80314,80314,Fourth St @ Farmers Ln,38.449505,-122.689156,0
80315,80315,Sonoma Ave @ Franquette Ave,38.446136,-122.681679,0
80316,80316,Sonoma Ave @ Yulupa Ave,38.44746,-122.676849,0
80317,80317,Sonoma Ave @ Carley Dr,38.448696,-122.672348,0
80318,80318,Sonoma Ave @ Summerfield Rd,38.449684,-122.668755,0
80319,80319,Summerfield Rd @ Texas Ave,38.44733,-122.665993,0
80320,80320,Summerfield Rd @ Mayette Ave,38.444294,-122.66375,0
80321,80321,Summerfield Rd @ Hoen Ave,38.441994,-122.662071,0
80322,80322,Summerfield Rd @ Shade Tree Ln,38.440571,-122.661079,0
80323,80323,Summerfield Rd @ Carissa Ave,38.437229,-122.659447,0
80324,80324,Summerfield Rd @ Horseshoe Dr,38.435047,-122.659576,0
80325,80325,Summerfield Rd @ Horseshoe Dr,38.432022,-122.660484,0
80326,80326,Bethards Dr @ Tachevah Dr,38.428108,-122.664154,0
80327,80327,Bethards Dr @ Yulupa Ave,38.42625,-122.666656,0
80328,80328,Yulupa Ave @ Neotomas Ave,38.428303,-122.668228,0
80329,80329,Yulupa Ave @ Tachevah Dr,38.431461,-122.668259,0
80330,80330,Yulupa Ave @ Sacramento Ave,38.435902,-122.668724,0
80331,80331,Yulupa Ave @ Douglas Dr,38.438229,-122.670456,0
80332,80332,Yulupa Ave @ Hoen Ave,38.439846,-122.671783,0
80333,80333,Yulupa Ave @ Mayette Ave,38.442146,-122.673561,0
80334,80334,Yulupa Ave @ Princeton Dr,38.44363,-122.674721,0
80335,80335,Yulupa Ave @ Claremont Dr,38.446751,-122.677132,0
80336,80336,Sonoma Ave @ Yulupa Ave,38.447159,-122.678146,0
80337,80337,Sonoma Ave @ Franquette Ave,38.446026,-122.68235,0
80338,80338,Fourth St @ Rogers Wy,38.449844,-122.690781,0
80339,80339,Fourth St @ Proctor Dr,38.448387,-122.69957,0
80340,80340,Fourth St @ Pierce St,38.444729,-122.705269,0
80341,80341,Third St @ E St,38.440701,-122.711128,0
80342,80342,North Dutton Ave @ West Third St,38.434738,-122.726974,0
80343,80343,North Dutton Ave @ Hewitt St,38.437962,-122.72863,0
80344,80344,North Dutton Ave @ Decker St,38.440533,-122.728813,0
80345,80345,West Ninth St @ Kingwood St,38.441715,-122.731705,0
80346,80346,West Ninth St @ Link Ln,38.441727,-122.734138,0
80347,80347,West Ninth St @ Simpson Pl,38.441616,-122.73806,0
80348,80348,West Ninth St @ Agnew Pl,38.441471,-122.741356,0
80349,80349,Stony Point Rd @ West Ninth St,38.441032,-122.745735,0
80350,80350,55 Stony Point Rd - Finley Park,38.442303,-122.748383,0
80351,80351,West College Ave @ Sparrow Creek St,38.445217,-122.749397,0
80352,80352,West College Ave @ Ridley Ave,38.445232,-122.745903,0
80353,80353,West College Ave @ Borden Villa Dr,38.445202,-122.743767,0
80354,80354,West College Ave @ Clover Dr,38.445385,-122.73967,0
80355,80355,West College Ave @ Link Ln,38.445602,-122.734421,0
80356,80356,North Dutton Ave @ Kingwood St,38.444164,-122.730568,0
80357,80357,North Dutton Ave @ West Ninth St,38.441822,-122.729012,0
80358,80358,North Dutton Ave @ West Eighth St,38.439358,-122.728889,0
80359,80359,North Dutton Ave @ Hewitt St,38.437126,-122.728737,0
80360,80360,North Dutton Ave @ West Third St,38.435535,-122.728012,0
80361,80361,College Ave @ Mendocino Ave,38.445614,-122.717018,0
80362,80362,E St @ Cherry St,38.444302,-122.710983,0
80363,80363,Earle St @ Corby Ave,38.429333,-122.718529,0
80364,80364,Corby Ave @ Barham Ave,38.426563,-122.717857,0
80365,80365,Corby Ave @ Myrtlewood Dr,38.42321,-122.717422,0
80366,80366,Corby Ave @ Baker Ave,38.421268,-122.717377,0
80367,80367,Corby Ave @ Cottonwood Dr,38.417294,-122.717545,0
80368,80368,Hearn Ave @ Corby Ave,38.41441,-122.718018,0
80369,80369,Hearn Ave @ Victoria Dr,38.414379,-122.721977,0
80370,80370,Hearn Ave @ Dutton Ave,38.414345,-122.724365,0
80371,80371,Hearn Ave @ West Ave,38.41431,-122.726425,0
80372,80372,Hearn Ave @ Burbank Ave,38.413471,-122.733276,0
80373,80373,West Ave @ Valarie Wy,38.416195,-122.727226,0
