route_id,service_id,trip_id,trip_headsign,block_id,shape_id,trip_index,trp_time_end,trp_place_end,trp_place_end_descr,trp_trip_ST,trp_block,trp_operating_days
17-119,20182D-vs20182D-Weekday-12,3432401-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588472,170016,4658,08:43:00,snfrn5,"San Fernando & 5th",0,1707,
17-119,20182D-vs20182D-Weekday-12,3432403-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588472,170040,4659,10:21:00,scmc2,"Santa Cruz Metro Lane 2",0,1707,
17-119,20182D-vs20182D-Weekday-12,3432404-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588472,170016,4660,12:08:00,snfrn5,"San Fernando & 5th",0,1707,
17-119,20182D-vs20182D-Weekday-12,3432406-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588472,170039,4661,13:43:00,scmc2,"Santa Cruz Metro Lane 2",0,1707,
17-119,20182D-vs20182D-Weekday-12,3432407-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588472,170016,4662,15:39:00,snfrn5,"San Fernando & 5th",0,1707,
17-119,20182D-vs20182D-Weekday-12,3432409-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588472,170039,4663,17:19:00,scmc2,"Santa Cruz Metro Lane 2",0,1707,
17-119,20182D-vs20182D-Weekday-12,3432410-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588472,170019,4664,19:11:00,snfrn5,"San Fernando & 5th",0,1707,
17-119,20182D-vs20182D-Weekday-12,3432412-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588472,170039,4665,20:41:00,scmc2,"Santa Cruz Metro Lane 2",0,1707,
17-119,20182D-vs20182D-Weekday-12,3432415-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588473,170016,4666,10:13:00,snfrn5,"San Fernando & 5th",0,1708,
17-119,20182D-vs20182D-Weekday-12,3432417-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588473,170039,4667,11:43:00,scmc2,"Santa Cruz Metro Lane 2",0,1708,
17-119,20182D-vs20182D-Weekday-12,3432418-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588473,170016,4668,13:08:00,snfrn5,"San Fernando & 5th",0,1708,
17-119,20182D-vs20182D-Weekday-12,3432420-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro",588473,170041,4669,14:33:00,scmc2,"Santa Cruz Metro Lane 2",0,1708,
17-119,20182D-vs20182D-Weekday-12,3432421-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588473,170016,4670,16:14:00,snfrn5,"San Fernando & 5th",0,1708,
17-119,20182D-vs20182D-Weekday-12,3432423-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588473,170039,4671,17:59:00,scmc2,"Santa Cruz Metro Lane 2",0,1708,
