stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,is_trans_ctr,at_trans_ctr,direction
1116,1116,"Hangar Way & Airport Blvd",,  36.930271,-121.791168,,http://scmtd.com/stop/1116,0,,,,0,0,2
1118,1118,"Herman Ave (Rolling Hills Middle School)",,  36.924446,-121.784691,,http://scmtd.com/stop/1118,0,,,,0,0,2
1127,1127,"Lakeview Rd & Parkwood Dr",,  36.931274,-121.732437,,http://scmtd.com/stop/1127,0,,,,0,0,1
1129,1129,"Main & Central Ave",,  36.908470,-121.754761,,http://scmtd.com/stop/1129,0,,,,0,0,1
1130,1130,"Kralj Dr & Lawrence Ave",,  36.922462,-121.783279,,http://scmtd.com/stop/1130,0,,,,0,0,2
1136,1136,"Main & Rodriguez",,  36.915100,-121.763763,,http://scmtd.com/stop/1136,0,,,,0,0,1
1137,1137,"Main & Auto Center Dr",,  36.915791,-121.767921,,http://scmtd.com/stop/1137,0,,,,0,0,1
1139,1139,"Main & Pennsylvania Dr",,  36.916340,-121.771217,,http://scmtd.com/stop/1139,0,,,,0,0,1
1141,1141,"Main & Clifford Ave",,  36.917484,-121.776237,,http://scmtd.com/stop/1141,0,,,,0,0,2
1142,1142,"Main & Ohlone Pkwy",,  36.917240,-121.776535,,http://scmtd.com/stop/1142,0,,,,0,0,1
1143,1143,"Main & S Green Valley Rd",,  36.918545,-121.782410,,http://scmtd.com/stop/1143,0,,,,0,0,2
1144,1144,"Main & S Green Valley Rd",,  36.918312,-121.782959,,http://scmtd.com/stop/1144,0,,,,0,0,1
1151,1151,"Manfre Rd & Larkin Valley Rd",,  36.927223,-121.800430,,http://scmtd.com/stop/1151,0,,,,0,0,1
1152,1152,"Manfre Rd & Lucerne Ave",,  36.933067,-121.798981,,http://scmtd.com/stop/1152,0,,,,0,0,1
1153,1153,"Manfre Rd (#222)",,  36.935547,-121.798340,,http://scmtd.com/stop/1153,0,,,,0,0,1
1154,1154,"Manfre Rd & Buena Vista Dr",,  36.939350,-121.797974,,http://scmtd.com/stop/1154,0,,,,0,0,1
1177,1177,"Rodriguez & W 5th",,  36.911922,-121.762352,,http://scmtd.com/stop/1177,0,,,,0,0,1
1179,1179,"Rodriguez & Ford",,  36.913074,-121.764084,,http://scmtd.com/stop/1179,0,,,,0,0,1
1181,1181,"Airport Blvd & Ross Ave",,  36.933208,-121.785034,,http://scmtd.com/stop/1181,0,,,,0,0,1
1182,1182,"Shady Oaks Dr & Anna",,  36.925869,-121.785385,,http://scmtd.com/stop/1182,0,,,,0,0,1
1183,1183,"Shady Oaks Dr & Jeanette Way",,  36.927441,-121.785362,,http://scmtd.com/stop/1183,0,,,,0,0,1
1185,1185,"Sunnyhills Dr & Shady Oaks Dr",,  36.929909,-121.785370,,http://scmtd.com/stop/1185,0,,,,0,0,1
1191,1191,"Tuttle Ave & Cedar Dr",,  36.921505,-121.741806,,http://scmtd.com/stop/1191,0,,,,0,0,2
1193,1193,"Tuttle Ave & E Lake Ave",,  36.922249,-121.746529,,http://scmtd.com/stop/1193,0,,,,0,0,2
1209,1209,"Aptos Beach Dr & Marina Ave",,  36.969791,-121.904785,,http://scmtd.com/stop/1209,0,,,,0,0,1
