shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
DB0073,-122.155143,37.469042,130025,
DB0073,-122.155112,37.469172,130026,
DB0073,-122.15509,37.469266,130027,
DB0073,-122.155041,37.469475,130028,
DB0073,-122.155003,37.469648,130029,
DB0073,-122.154975,37.469815,130030,
DB0073,-122.154958,37.470041,130031,
DB0073,-122.154953,37.470246,130032,
DB0073,-122.154959,37.470553,130033,
DB0073,-122.154977,37.471035,130034,
DB0073,-122.154978,37.471229,130035,
DB0073,-122.154971,37.471351,130036,
DB0073,-122.154946,37.47154,130037,
DB0073,-122.154921,37.471661,130038,
DB0073,-122.15487,37.471804,130039,
DB0073,-122.154769,37.472023,130040,
DB0073,-122.154635,37.472298,130041,
DB0073,-122.154581,37.472406,130042,
DB0073,-122.154389,37.47277,130043,
DB0073,-122.154341,37.472868,130044,
DB0073,-122.1542084,37.4731468,130045,
DB0073,-122.1542084,37.4731468,140001,
DB0073,-122.154018,37.473547,140002,
DB0073,-122.15373,37.474101,140003,
DB0073,-122.153523,37.474505,140004,
DB0073,-122.153338,37.474869,140005,
DB0073,-122.153196,37.475149,140006,
DB0073,-122.1530259,37.4754863,140007,
DB0073,-122.1530259,37.4754863,150001,
DB0073,-122.152911,37.475714,150002,
DB0073,-122.152847,37.475842,150003,
DB0073,-122.152753,37.476025,150004,
DB0073,-122.152692,37.476153,150005,
DB0073,-122.152459,37.476604,150006,
DB0073,-122.152116,37.47727,150007,
DB0073,-122.151854,37.477772,150008,
DB0073,-122.151308,37.478866,150009,
DB0073,-122.15124,37.478998,150010,
DB0073,-122.150889,37.479677,150011,
DB0073,-122.1507924,37.479877,150012,
DB0073,-122.1507924,37.479877,160001,
DB0073,-122.150732,37.480002,160002,
DB0073,-122.150687,37.480099,160003,
DB0073,-122.150637,37.480215,160004,
DB0073,-122.150562,37.480398,160005,
DB0073,-122.150531,37.480492,160006,
DB0073,-122.150406,37.48085,160007,
DB0073,-122.150327,37.480925,160008,
DB0073,-122.150296,37.480961,160009,
DB0073,-122.15027,37.481012,160010,
DB0073,-122.150236,37.481118,160011,
DB0073,-122.15019,37.481281,160012,
DB0073,-122.150136,37.481533,160013,
DB0073,-122.150105,37.481671,160014,
DB0073,-122.150083,37.481743,160015,
DB0073,-122.150048,37.481811,160016,
DB0073,-122.150001,37.481869,160017,
DB0073,-122.149945,37.48192,160018,
DB0073,-122.149881,37.48196,160019,
DB0073,-122.1498,37.482004,160020,
DB0073,-122.149385,37.48206,160021,
DB0073,-122.14912,37.4821,160022,
DB0073,-122.148817,37.482161,160023,
DB0073,-122.148348,37.48227,160024,
DB0073,-122.148025,37.482369,160025,
DB0073,-122.147679,37.482487,160026,
DB0073,-122.147494,37.482553,160027,
DB0073,-122.147345,37.482614,160028,
DB0073,-122.147153,37.482696,160029,
DB0073,-122.146951,37.482795,160030,
DB0073,-122.146526,37.48302,160031,
DB0073,-122.146377,37.483105,160032,
DB0073,-122.146058,37.483314,160033,
DB0073,-122.14592,37.483411,160034,
DB0073,-122.145588,37.483664,160035,
DB0073,-122.145413,37.483811,160036,
DB0073,-122.145065,37.484121,160037,
DB0073,-122.144768,37.484387,160038,
DB0073,-122.144331,37.484776,160039,
DB0073,-122.144048,37.485022,160040,
DB0073,-122.143171,37.485819,160041,
DB0073,-122.142613,37.486324,160042,
DB0073,-122.142546,37.48638,160043,
DB0073,-122.14206,37.486829,160044,
DB0073,-122.140904,37.487861,160045,
DB0073,-122.139532,37.489109,160046,
DB0073,-122.139224,37.489388,160047,
DB0073,-122.137532,37.490904,160048,
DB0073,-122.13743,37.490997,160049,
DB0073,-122.135849,37.492426,160050,
DB0073,-122.135423,37.492813,160051,
DB0073,-122.135205,37.49301,160052,
DB0073,-122.134838,37.49334,160053,
DB0073,-122.134157,37.493944,160054,
DB0073,-122.1337,37.4943671,160055,
DB0073,-122.133312,37.494726,160056,
DB0073,-122.133,37.495028,160057,
DB0073,-122.132905,37.495122,160058,
DB0073,-122.13285,37.495175,160059,
DB0073,-122.132792,37.49523,160060,
DB0073,-122.132726,37.495296,160061,
DB0073,-122.132666,37.495359,160062,
DB0073,-122.132545,37.495482,160063,
DB0073,-122.132308,37.495727,160064,
DB0073,-122.132021,37.496029,160065,
DB0073,-122.131974,37.496075,160066,
DB0073,-122.1317378,37.496313,160067,
DB0073,-122.131342,37.496711,160068,
DB0073,-122.1313123,37.4967387,160069,
DB0073,-122.130679,37.49733,160070,
DB0073,-122.130238,37.497716,160071,
DB0073,-122.13001,37.497918,160072,
DB0073,-122.129849,37.498058,160073,
DB0073,-122.129693,37.498181,160074,
DB0073,-122.129104,37.498664,160075,
DB0073,-122.128935,37.498796,160076,
DB0073,-122.128592,37.499058,160077,
DB0073,-122.128448,37.49917,160078,
DB0073,-122.128122,37.499402,160079,
DB0073,-122.126886,37.500277,160080,
DB0073,-122.125128,37.501376,160081,
DB0073,-122.121317,37.503862,160082,
DB0073,-122.118659,37.505634,160083,
DB0073,-122.117276,37.506568,160084,
DB0073,-122.117132,37.506662,160085,
DB0073,-122.116914,37.506805,160086,
DB0073,-122.116748,37.506921,160087,
DB0073,-122.11635,37.507191,160088,
DB0073,-122.114986,37.508127,160089,
DB0073,-122.114488,37.508465,160090,
DB0073,-122.114147,37.508698,160091,
DB0073,-122.113354,37.509269,160092,
DB0073,-122.113084,37.50947,160093,
DB0073,-122.112516,37.50991,160094,
DB0073,-122.112061,37.510278,160095,
DB0073,-122.111643,37.510641,160096,
DB0073,-122.111377,37.510871,160097,
DB0073,-122.111128,37.511098,160098,
DB0073,-122.110546,37.51165,160099,
DB0073,-122.11028,37.511908,160100,
DB0073,-122.110194,37.511987,160101,
DB0073,-122.109659,37.512538,160102,
DB0073,-122.109222,37.513015,160103,
DB0073,-122.108683,37.513625,160104,
DB0073,-122.108361,37.514006,160105,
DB0073,-122.108107,37.514326,160106,
DB0073,-122.107755,37.514782,160107,
DB0073,-122.107381,37.515288,160108,
DB0073,-122.107086,37.515703,160109,
DB0073,-122.106777,37.516143,160110,
DB0073,-122.106531,37.516488,160111,
DB0073,-122.106237,37.516903,160112,
DB0073,-122.105929,37.517349,160113,
DB0073,-122.105441,37.518031,160114,
DB0073,-122.104853,37.51886,160115,
