stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00772,,"Azusa and Merced S",,  34.053663,-117.908131,,,0,
00773,,"Azusa and Newburgh N",,  34.110022,-117.907542,,,0,
00774,,"Azusa and Newburgh S",,  34.110046,-117.907813,,,0,
00775,,"Azusa and Arrow Hwy N",,  34.107378,-117.907542,,,0,
00776,,"Azusa and Paramount N",,  34.118367,-117.907526,,,0,
00777,,"Azusa and Paramount S",,  34.118301,-117.907774,,,0,
00778,,"Azusa and Puente N",,  34.083161,-117.907651,,,0,
00779,,"Azusa and Puente S",,  34.082496,-117.907906,,,0,
00780,,"Azusa and Railroad N",,  34.003376,-117.930241,,,0,
00781,,"Azusa and Railroad S",,  34.004101,-117.930418,,,0,
00782,,"Azusa and Rowland N",,  34.078897,-117.907656,,,0,
00783,,"Azusa and Rowland S",,  34.079378,-117.907886,,,0,
00784,,"Azusa and San Bernardino N",,  34.089371,-117.907667,,,0,
00785,,"Azusa and San Bernardino S",,  34.088704,-117.907935,,,0,
00787,,"Azusa and S Garvey N",,  34.070329,-117.907625,,,0,
00788,,"Azusa and S Garvey S",,  34.069763,-117.907867,,,0,
00789,,"Azusa and Temple N",,  34.024348,-117.917550,,,0,
00790,,"Azusa and Temple S",,  34.024125,-117.918026,,,0,
00791,,"Azusa and Vine N",,  34.057727,-117.907798,,,0,
00792,,"Azusa and Vine S",,  34.057244,-117.908056,,,0,
00793,,"Azusa and Wing Lane N",,  34.027199,-117.916495,,,0,
00794,,"Azusa and Winglane S",,  34.027664,-117.916600,,,0,
00795,,"Azusa and Workman N",,  34.076205,-117.907617,,,0,
00796,,"Azusa and Workman S",,  34.075720,-117.907870,,,0,
00799,,"Covina Blvd and Kimberly Ave",,  34.099477,-117.835668,,,0,
00802,,"Baldwin Park Blvd and Bess E",,  34.063474,-117.985907,,,0,
00803,,"Baldwin Park Blvd and Bess W",,  34.063419,-117.985739,,,0,
00804,,"Baldwin Park Blvd and Nubia St N",,  34.103413,-117.964862,,,0,
00805,,"Baldwin Park Blvd and Nubia St S",,  34.103314,-117.965040,,,0,
00806,,"Baldwin Park Blvd and Los Angeles St E",,  34.091888,-117.965045,,,0,
00808,,"Baldwin Park Blvd and Los Angeles St S",,  34.091897,-117.965048,,,0,
